                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.7333,                 1.3731,                 1.5345,                0.76678,                0.64655,                0.74001,                0.38103,                  1.633,                 1.4051,                 1.6681,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.7439,                 1.4022,                 1.5598,                0.80524,                 0.6681,                0.75422,                0.38002,                 1.7048,                 1.4389,                  1.709,               0.009208,               0.009208,               0.009208
                     82,                 1.7164,                 1.3547,                 1.5425,                0.75532,                0.63869,                0.73481,                0.37403,                 1.6936,                 1.3944,                 1.6812,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.7268,                 1.3504,                 1.5344,                0.79236,                0.67438,                0.75214,                0.38437,                  1.681,                 1.4225,                 1.7096,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.7425,                 1.3637,                 1.5402,                0.74344,                0.70259,                 0.7586,                0.37947,                 1.6866,                 1.4131,                 1.7073,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.7505,                 1.3635,                 1.5649,                0.81002,                0.65086,                0.75076,                0.37316,                 1.7369,                  1.437,                 1.7151,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.7326,                 1.3724,                 1.5388,                 0.8238,                 0.6852,                 0.7626,                0.38439,                 1.7094,                 1.4356,                 1.7136,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.7191,                 1.3241,                  1.529,                0.79616,                0.68534,                0.76535,                0.38261,                 1.6366,                 1.3876,                 1.6597,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.7394,                 1.3593,                 1.5357,                0.76189,                0.63445,                0.72875,                0.37947,                 1.6646,                 1.4687,                 1.6865,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.7466,                 1.3331,                 1.5424,                0.80698,                0.69397,                0.76663,                0.38552,                 1.6601,                 1.3565,                 1.6818,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.7164,                 1.3461,                  1.518,                0.72651,                0.68534,                0.75816,                0.38595,                 1.6621,                 1.3912,                 1.6745,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.7105,                 1.3392,                  1.516,                0.80425,                0.69828,                0.78469,                0.37416,                 1.6788,                 1.3514,                 1.6939,               0.009109,               0.009109,               0.009109
                     92,                 1.7247,                 1.3577,                 1.5122,                0.80053,                0.72653,                0.79238,                0.41964,                 1.6655,                 1.3245,                 1.6872,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.6817,                 1.2862,                 1.4983,                0.78929,                   0.75,                0.79204,                0.40236,                 1.6658,                 1.3172,                 1.6782,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.7054,                 1.2935,                 1.5119,                0.77524,                0.68966,                 0.7824,                0.39856,                 1.6891,                 1.3227,                 1.7028,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.7339,                 1.3174,                 1.5365,                0.75453,                0.71552,                0.76084,                0.39283,                 1.6876,                 1.3787,                 1.6954,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.7018,                 1.2925,                 1.5152,                0.76976,                0.71121,                0.77012,                0.39713,                 1.6971,                 1.3676,                 1.6716,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.7318,                 1.3023,                 1.5169,                0.80356,                0.70529,                0.79403,                0.38918,                 1.7229,                   1.37,                 1.7186,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.7342,                 1.3227,                 1.5295,                0.81783,                0.68534,                0.78298,                0.40294,                 1.5982,                 1.3526,                 1.6503,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.7092,                 1.2846,                 1.5193,                 0.7693,                0.73707,                0.79846,                 0.4124,                 1.6823,                 1.3418,                 1.6997,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.7067,                 1.3179,                 1.5506,                0.84532,                0.73707,                0.80742,                 0.3987,                 1.6669,                 1.3157,                 1.6946,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.6919,                 1.3154,                 1.5173,                0.80835,                0.71983,                 0.8049,                0.41808,                  1.637,                 1.2556,                 1.6533,                0.00901,                0.00901,                0.00901
                    102,                 1.6815,                 1.2674,                 1.4964,                 0.7756,                0.73001,                 0.7788,                 0.4011,                   1.64,                 1.3539,                 1.6287,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.6669,                 1.2625,                  1.498,                0.81592,                0.70691,                0.78035,                0.40128,                 1.6556,                 1.3489,                 1.6752,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.6978,                 1.2661,                 1.5138,                 0.7852,                0.74054,                0.79103,                0.40196,                 1.6781,                  1.303,                 1.6798,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.6776,                 1.2578,                 1.5066,                0.78775,                0.74569,                0.78028,                0.39728,                 1.6465,                 1.3316,                 1.6545,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.6555,                 1.2301,                 1.4849,                0.81236,                0.68966,                0.77584,                0.40043,                 1.6639,                 1.3331,                 1.6617,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.6647,                  1.233,                 1.4719,                0.82844,                0.68689,                0.78453,                0.40657,                 1.6645,                 1.3262,                 1.6967,              0.0089506,              0.0089506,              0.0089506
