                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.7087,                 1.4856,                 1.5457,                0.71162,                0.71121,                0.73798,                 0.3859,                 1.5926,                 1.3777,                 1.6867,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.6778,                 1.4487,                 1.5445,                0.73104,                0.70295,                0.75829,                0.39287,                 1.5835,                  1.309,                  1.691,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.7031,                 1.4715,                  1.541,                0.81788,                0.65817,                0.75934,                0.38547,                 1.6083,                 1.3545,                 1.6969,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.7199,                 1.4403,                 1.5606,                0.75141,                0.70354,                0.74984,                0.38011,                 1.5987,                 1.4255,                 1.7182,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.6971,                 1.5012,                 1.5514,                0.76616,                 0.7069,                0.78869,                0.42645,                 1.5343,                  1.329,                 1.6513,               0.009406,               0.009406,               0.009406
                     62,                 1.6966,                 1.4452,                 1.5541,                0.82025,                0.64655,                0.75805,                0.38831,                 1.5872,                 1.3327,                 1.7021,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.6887,                 1.4129,                 1.5432,                0.75721,                0.71552,                0.77168,                0.40857,                 1.5451,                 1.2799,                 1.6656,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.6869,                  1.421,                 1.5415,                0.66952,                0.65517,                0.69032,                 0.3696,                 1.6033,                 1.3573,                 1.7031,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.6895,                 1.4143,                 1.5531,                 0.7741,                0.71552,                0.77462,                0.41029,                 1.5835,                 1.3512,                 1.6936,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.6688,                 1.4327,                 1.5171,                0.83157,                0.64655,                0.77909,                0.41293,                 1.5732,                 1.2834,                 1.6777,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.6684,                 1.3786,                 1.5263,                0.75756,                0.70039,                0.77178,                0.40605,                 1.5981,                 1.2964,                 1.7372,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.6433,                 1.3858,                 1.5144,                 0.7509,                0.71121,                0.78476,                0.41812,                  1.553,                 1.2797,                 1.6601,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.6549,                 1.3682,                 1.5048,                0.78553,                0.67241,                0.76622,                0.39812,                 1.5554,                 1.3472,                 1.6686,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.6326,                 1.3583,                  1.504,                0.80757,                0.68966,                0.79672,                0.42632,                 1.5711,                 1.2358,                 1.6836,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.6678,                 1.3549,                 1.5324,                 0.8185,                0.69976,                0.80342,                0.42995,                 1.5753,                 1.2173,                 1.6756,               0.009307,               0.009307,               0.009307
